"27";"Vaš vazduhoplov ima: Masu na poletanju: 2353 lbs Proračunati položaj centra težišta na poletanju: 89.75 inča iza referentne linije; Predviñenu potrošnju goriva: 200 lbs sa centrom težišta 85.00 inča iza referentne linije. Koja će biti pozicija centra težišta na sletanju?";"90.19 inča iza referentne linije.";"82.52 inča iza referentne linije.";"105.98 inča iza referentne linije.";"96.97 inča iza referentne linije.";"a";"Performanse leta i planiranje"
"28";"Koristeći dijagram Visina po pritisku/Visina po gustini (vidi Sliku PPL (H) FPP-3) odredi Visinu po gustini (Density Altitude) za date uslove: Visina helidroma = 3000ft QNH = 28.85 in OAT = -1°C";"3000ft";"4000ft";"5000ft";"2000ft.";"a";"Performanse leta i planiranje"
"29";"Kod proračunavanja maksimalne mase bez goriva, uzimaju se u obzir:";"Posada, putnici, prtljag i ketering. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Performanse leta i planiranje";"Posada, putnici i prtljag.";"Posada, putnici, prtljag, ketering i gorivo";"Pijaća voda i hemikalije u toaletu.";"a";"Performanse leta i planiranje"
"30";"Koristeći dijagram Visina po pritisku/Visina po gustini (Vidi Sliku PPL(H) FPP-3) odredi: Visinu po gustini (Density Altitude) za date uslove: Visina heliodroma = 6000ft QNH = 29.4 in OAT = +20°C";"8500ft";"8000ft";"6700ft";"7200ft.";"a";"Performanse leta i planiranje"
"31";"Kakav je uticaj nagiba piste na poletanje?";"Pozitivan nagib (na gore) će povećati dužinu poletanja.";"Pozitivan nagib (na gore) će povećati performanse poletanja.";"Negativan nagib (na dole) će povećati dužinu poletanja.";"Negativan nagib (na dole) će smanjiti performanse poletanja.";"a";"Performanse leta i planiranje"
"32";"Deo piste koji se koristi za normalno poletanje, isključujući „clearway“ ili „stopway“ odnosi se na:";"Raspoloživu dužinu zaleta – dužinu piste (TORA).";"Raspoloživu dužinu sletanja (LDA).";"Raspoloživu dužinu poletanja (TODA).";"Raspoloživu dužinu u vanrednoj situaciji (EMDA).";"a";"Performanse leta i planiranje"
"33";"Ako je gustina atmosfere smanjena, dužina poletanja će biti:";"Povećana.";"Smanjena.";"Bez uticaja.";"Kontrolisana vetrom.";"a";"Performanse leta i planiranje"
"34";"Ako se gustina vazduha poveća iznad ISA uslova, to će usloviti:";"Poboljšanje (povećanje) performansi na poletanju.";"Povećanje dužine poletanja.";"Pogoršanje (smanjenje) performansi na poletanju.";"Smanjenje samo dužine zaleta.";"a";"Performanse leta i planiranje"
"35";"Relativno mala gustina atmosfere će prouzrokovati:";"Smanjenje uzgona i snage motora, što će prouzrokovati potrebu za većom dužinom poletanja.";"Nepromenjenu potrebnu dužinu poletanja jer uzgon i otpor nemaju uticaj na istu.";"Mogućnost lebdenja bez vazdušnog jastuka na većoj visini.";"Smanjenje otpora i povećanje snage motora, što dovodi do boljeg ubrzanja. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Performanse leta i planiranje";"a";"Performanse leta i planiranje"
"36";"Koristeći „Hover Ceiling vs. Gross Weight“ dijagram odredi maksimalnu visinu lebdenja sa uticajem vazdušnog jastuka (IGE) za date uslove (Slika PPL(H) FPP-4): Ukupna težina helikoptera = 1225 lb OAT = +25°C";"6.750 ft";"5.000 ft";"8.000 ft";"7.250 ft.";"a";"Performanse leta i planiranje"
"37";"Kakav će uticaj na poletanje imati povećanje ukupne težine vazduhoplova?";"Povećanje mase umanjuje ubrzanje a povećava potrebnu dužinu za poletanje.";"Smanjuje ugao početnog penjanja do visine 50ft čime se dužina poletanja smanjuje.";"Povećava ugao početnog penjanja do visine 50ft čime se dužina poletanja uvećava.";"Smanjiće se brzina u poletanju a samim tim i potrebna dužina poletanja.";"a";"Performanse leta i planiranje"
"38";"Koristeći „Hover Ceiling vs. Gross Weight“ dijagram odredi maksimalnu visinu lebdenja bez uticaja vazdušnog jastuka (OGE) za date uslove (Slika PPL(H) FPP-4): Ukupna težina helikoptera = 1175 lb OAT = +35°C";"5.250 ft";"7.250 ft";"8.000 ft";"6.250 ft.";"a";"Performanse leta i planiranje"
"39";"Penjanjem brzinom Vy se postiže:";"Najveće povećanje visine u datom vremenu.";"Maksimalni ugao penjanja.";"Maksimalno povećanje visine za najkraće horizontalno rastojanje.";"Najbolje performanse za nadvišavanje prepreka.";"a";"Performanse leta i planiranje"
"40";"Da bi smo dostigli najveću visinu za najkraće vreme, vazduhoplov treba da leti brzinom:";"Najboljeg penjanja (Vy).";"60 KT.";"Najboljeg ugla penjanja.";"Najveće autonomije leta.";"a";"Performanse leta i planiranje"
"41";"Proračunajte brzinu uzdizanja za vazduhoplov koji leti na visini 5000f na temperaturi spoljnjeg vazduha od 0°C. (Vidi sliku PPL FPP-8)";"530 fpm.";"585 fpm.";"475 fpm.";"470 fpm.";"a";"Performanse leta i planiranje"
"42";"Povećanjem mase (i radi toga težine) vazduhoplova će:";"Smanjiti brzinu i ugao penjanja.";"Povećati brzinu i ugao penjanja. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Performanse leta i planiranje";"Povećati brzinu penjanja i smanjiti ugao penjanja.";"Smanjiti brzinu penjanja i povećati ugao penjanja.";"a";"Performanse leta i planiranje"
"43";"Koristeći „Hover Ceiling vs. Gross Weight“ dijagram odredi maksimalnu visinu lebdenja sa uticajem vazdušnog jastuka (IGE), za date uslove (Slika PPL(H) FPP-4): Ukupna težina helikoptera = 1275 lb OAT = -13°C";"7.900 ft";"6.200 ft";"9.000 ft";"7.250 ft.";"a";"Performanse leta i planiranje"
"44";"Koristeći „Hover Ceiling vs. Gross Weight“ dijagram odredi maksimalnu visinu lebdenja bez uticaja vazdušnog jastuka (OGE) za date uslove (Slika PPL(H) FPP-4): Ukupna težina helikoptera = 1225 lb OAT = +25°C";"5.000 ft";"7.250 ft";"8.000 ft";"6.750 ft.";"a";"Performanse leta i planiranje"
"45";"Koju maksimalnu brzinu u horizontalnom letu možemo da postignemo na odreñenoj visini? (Vidi sliku PPL(H) FPP-1)";"Kada krive snage seku jedna drugu (D).";"Kada su krive snage najviše udaljene jedna od druge (A).";"Kada je kriva potrebne snage u najnižoj tački (B).";"Kada tangenta povučena iz korena sistema dodiruje krivu potrebne snage (C).";"a";"Performanse leta i planiranje"
"46";"Kojom brzinom moramo da letimo za maksimalni ostanak u vazduhu (Endurance speed)? (Vidi sliku PPL(H) FPP-1)";"Kada je kriva Potrebne snage u najnižoj tački (B).";"Kada su krive Snage najviše udaljene jedna od druge (A).";"Kada tangenta povučena iz korena sistema dodiruje krivu Potrebne snage (C).";"Kada krive snage seku jedna drugu (D).";"a";"Performanse leta i planiranje"
"47";"Penjanjem sa brzinom Vx postižemo:";"Maksimalni ugao penjanja.";"Najkraće vreme penjanja.";"Najbolje povećanje visine za dato vreme.";"Maksimalno horizontalno rastojanje za dato vertikalno rastojanje.";"a";"Performanse leta i planiranje"
"48";"Koja je brzina najboljeg penjanja (VBROC)? (Vidi sliku PPL(H) FPP-1)";"Kada su „krive snage” najviše udaljene jedna od druge (A).";"Kada je „kriva potrebne snage” u najnižoj tački (B).";"Kada tangenta povučena iz korena sistema dodiruje „krivu potrebne snage” (C).";"Kada „krive snage” seku jedna drugu (D). ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Performanse leta i planiranje";"a";"Performanse leta i planiranje"
"49";"Kojom brzina je neophodna za let sa maksimalnim doletom (Range speed)? (Vidi sliku PPL(H) FPP-1)";"Kada tangenta povučena iz korena sistema dodiruje „krivu potrebne snage” (C).";"Kada su „krive snage” najviše udaljene jedna od druge (A).";"Kada „krive snage” seku jedna drugu (D).";"Kada je „kriva potrebne snage” u najnižoj tački (B).";"a";"Performanse leta i planiranje"
"50";"Ko je odgovoran da teret pre leta bude pravilno rasporeñen i osiguran (ili vezan)?";"PIC na planiranom letu.";"Bilo koji licencirani mehaničar.";"Osoba koja je vršila utovar tereta.";"Kompanijski licencirani mehaničar.";"a";"Performanse leta i planiranje"
"51";"Koja je težina 33 US Galona avio benzina pri specifičnoj težini 0,715?";"197 lb.";"201 kg.";"155 lb.";"179 kg.";"a";"Performanse leta i planiranje"
"52";"Pilot želi da leti brzinom koja će mu obezbediti maksimalan dolet. Poznato mu je da leti sa leñnim vetrom. Uporedite brzinu koju je izabrao pilot sa maksimalnom brzinom doleta u mirnom vazduhu.";"Biće umanjena za vrednost nešto manju od brzine leñnog vetra.";"Biće uvećana za vrednost nešto manju od brzine leñnog vetra.";"Biće ista kao u uslovima bez vetra.";"Biće umanjena za vrednost nešto veću od brzine leñnog vetra.";"a";"Performanse leta i planiranje"
"53";"Koji od sledećih slučajeva će rezultirati pogoršanjem performansi i mogućnošću prekoračenja strukturalnih ograničenja helikoptera?";"Helikopter koji je natovaren preko maksimalno dozvoljene težine.";"Helikopter koji penje sa VBROC na maksimalno dozvoljenoj težini.";"Helikopter koji leti iznad maksimalno dozvoljene težine na sletanju.";"Helikopter sa većom masom na poletanju nego na sletanju.";"a";"Performanse leta i planiranje"
"54";"Koji je uticaj čeonog vetra na ugao planiranja i dužinu doleta u autorotaciji?";"Ugao planiranja se povećava a dužina doleta se smanjuje.";"Ugao planiranja i dužina doleta ostaju isti.";"Ugao planiranja i dužina doleta se povećavaju.";"Ugao planiranja i dužina doleta se smanjuju.";"a";"Performanse leta i planiranje"
"55";"Koja je težina 165 litara avio benzina pri specifičnoj težini 0,715?";"118 kg.";"118 lb.";"155 lb.";"179 kg. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Performanse leta i planiranje";"a";"Performanse leta i planiranje"
"56";"Koja je težina 49 US Galona aviobenzina pri specifičnoj težini 0,715?";"292 lb.";"292 kg.";"179 lb.";"179 kg.";"a";"Performanse leta i planiranje"
"57";"Sa povećanjem težine, dolet helikoptera se:";"Smanjuje.";"Ne menja.";"Povećava.";"Smanjuje, ako smanjimo RRPM.";"a";"Performanse leta i planiranje"
"58";"Helikopter prekriven malom količinom leda će usloviti:";"Povećanje otpora i težine.";"Povećanje težine i uzgona.";"Povećanje uzgona i otpora.";"Povećanje težine i smanjenje otpora.";"a";"Performanse leta i planiranje"
"59";"Koja je težina 185 litara avio benzina pri specifičnoj težini 0,715?";"132 kg.";"132 lb.";"179 lb.";"179 kg.";"a";"Performanse leta i planiranje"
"60";"Na aerodromu koji je 1800 ft iznad nivoa mora QNH je 998 mb. Koja je visina po pritisku (pressure altitude)?";"2250 feet.";"2107 feet.";"1580 feet.";"1956 feet.";"a";"Performanse leta i planiranje"
"61";"Kako bi povećanje temperature vazduha uticalo na gustinu vazduha i performanse vazduhoplova?";"Smanjila bi se gustina i pogoršale performanse vazduhoplova.";"Povećala bi se gustina i pogoršale performanse vazduhoplova.";"Povećala bi se gustina i poboljšale performanse vazduhoplova.";"Smanjila bi se gustina i poboljšale performanse vazduhoplova.";"a";"Performanse leta i planiranje"
"62";"Na aerodromu koji je 1000 ft iznad nivoa mora QNH je 1000 mb. Koja je visina po pritisku (pressure altitude)?";"1390 feet.";"610 feet.";"1580 feet.";"1956 feet.";"a";"Performanse leta i planiranje"
"63";"Na aerodromu koji je 1000 ft iznad nivoa mora QNH je 1026 mb. Koja je visina po pritisku (pressure altitude)? ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Performanse leta i planiranje";"610 feet.";"1390 feet";"2107 feet.";"1580 feet.";"a";"Performanse leta i planiranje"
"64";"Na aerodromu koji je 1800 ft iznad nivoa mora QNH je 1028 mb. Koja je visina po pritisku (pressure altitude)?";"1350 feet.";"2250 feet.";"580 feet.";"1956 feet.";"a";"Performanse leta i planiranje"
"65";"Kakav je uticaj povećanja mase na visinu lebdenja sa uticajem tla (HIGE) i potrebnu dužinu sletanja?";"smanjena visina HIGE i povećana dužina sletanja";"povećana visina HIGE i smanjena dužina sletanja";"smanjena visina HIGE i dužina sletanja";"povećana visina HIGE i povećana dužina sletanja.";"a";"Performanse leta i planiranje"
"66";"Koristeći dijagram snage helikoptera (slika PPL(H) FPP-5) odredi koja je brzina najdužeg doleta.";"D.";"B.";"C.";"A.";"a";"Performanse leta i planiranje"
"67";"Koristeći dijagram snage helikoptera (Slika PPL (H) FPP-5) odredi koja je brzina najboljeg uzdizanja (Vbroc).";"C";"B";"D";"A.";"a";"Performanse leta i planiranje"
"68";"VNE helikoptera odreñuje:";"Slom uzgona odlazeće lopatice (koja se kreće suprotno od pravca leta).";"Efekat stišljivosti na krajevima lopatica rotora.";"Snaga motora.";"Ograničenja repnog rotora da parira obrtni moment na velikim brzinama.";"a";"Performanse leta i planiranje"
"69";"Ako helikopter lebdi nad fiksnom pozicijom u uslovima vetra, koja je nakritičnija pozicija centra težišta?";"Blizu zadnje granice";"Blizu prednje granice";"Nema posledica pri lebdenju sa uticajem vazdušnog jastuka";"Zadnja granica pri čeonom vetru, prednja granica pri leñnom vetru. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Performanse leta i planiranje";"a";"Performanse leta i planiranje"
"70";"Helikopter je uzdužno i poprečno opterećen prema sledećoj tabeli: ITEM Mass(lb) Long. Arm Long. Moment Lat. Arm Lat. Moment Basic mass 1200 +91.4 +0.28 Pilot 150 +70.0 +11.8 Passenger 150 +70.0 -11.8 Freight 100 +82.0 -8.1 Fuel 180 +92.6 -9.8 Total's Izračunati centar težišta. Centar težišta po uzdužnoj osi je:";"87.38 in iza reperne linije";"86.88 in iza reperne linije";"79.12 in iza reperne linije";"89.35 in iza reperne linije";"a";"Performanse leta i planiranje"
"71";"Helikopter je uzdužno i poprečno opterećen prema sledećoj tabeli: ITEM Mass(lb) Long. Arm Long. Moment Lat. Arm Lat. Moment Basic mass 1200 +91.4 +0.28 Pilot 150 +70.0 +11.8 Passenger 150 +70.0 -11.8 Freight 100 +82.0 -8.1 Fuel 180 +92.6 -9.8 Total's Izračunati centar težišta. Centar težišta po poprečnoj osi je:";"1.257 in levo od reperne linije.";"0.812 in desno od reperne linije.";"0.964 in levo od reperne linije.";"1.655 in desno od reperne linije.";"a";"Performanse leta i planiranje"
"72";"Koristeći ponuñene podatke, pod pretpostavkom da je granica zadnje centraže 86.5 in, koliko bi trebalo pomeriti tovar kako bi centar težišta po uzdužnoj osi bio u okviru dozvoljenih granica? ITEM Mass(lb) Long. Arm Long. Moment Lat. Arm Lat. Moment Basic 1200 +91.4 +0.28 mass Pilot 150 +70.0 +11.8 Passeng 150 +70.0 -11.8 er Freight 100 +82.0 -8.1 Fuel 180 +92.6 -9.8 TOTAL’s";"15.78 in u napred";"14.98 in u nazad";"16.71 in u nazad ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Performanse leta i planiranje";"14.68 in u napred.";"a";"Performanse leta i planiranje"
"73";"Uzimajući u obzir sledeću tabelu, koja je pozicija centra težišta? ITEM Mass(lb) Arm (in) Moment Basic mass 1196 80 Pilot 160 63 Freight 50 72 Fuel 185 84 TOTAL’s";"78.50 in iza reperne linije";"80.42 in iza reperne linije";"83.97 in iza reperne linije";"79.28 in iza reperne linije.";"a";"Performanse leta i planiranje"
"74";"Odredi da li je masa vazduhoplova u dozvoljenim granicama (normalne kategorije) (Vidi sliku PPL FPP-17) Masa (lb) Moment/1000 (lb in) Masa praznog vazduhoplova 1,350 lb 5 1.5 lb in Pilot i putnici napred 360 lb Putnici pozadi 280 lb Gorivo 30 US gal Ulje 8 qt -0.2 Masa vazduhopova je :";"U okviru limita";"Napred, u odnosu na prednju granicu";"U okviru limita, blizu prednjeg limita";"Nazad, u odnosu na zadnji limit.";"a";"Performanse leta i planiranje"
"75";"Kolika je maksimalna količina goriva koja se može sipati u vazduhoplov koji je natovaren na sledeći način? (Vidi sliku PPL FPP-17) Masa (lb) Moment/1000 (lb in) Masa praznog vazduhoplova 1,350 lb 5 1.5 lb in Pilot i putnici napred 340 lb Putnici pozadi 310 lb Prtljag 45 lb Ulje 8 qt -0.2";"40 USA gal.";"24 USA gal. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Performanse leta i planiranje";"34 USA gal.";"46 USA gal.";"a";"Performanse leta i planiranje"
"76";"Uzimajući u obzir podatke iz sledeće tabele: Masa (lb) Krak (in) moment(lb in) Masa praznog vazduhoplova 1,495lb 101.4 151,593.0 Pilot i putnici napred 380 lb 64.0 Gorivo AV Gas 30 US gal 96.0 Koliko je centar težišta pomeren nazad od referentne linije?";"94.01 in.";"92.44 in.";"119.80 in.";"135.00 in.";"a";"Performanse leta i planiranje"
"77";"Odredi moment koristeći sledeće podatke: (Vidi sliku PPL FPP-17) Masa (lb) Moment/1000 (lb in) Masa praznog vazduhoplova 1,350 lb 5 1.5 lb in Pilot i putnici napred 340 lb Putnici pozadi 280 lb Gorivo pun standardni rezervoar Ulje 8 qt -0.2";"74.9 lbxin.";"38.7 lbxin.";"69.9 lbxin.";"77.0 lbxin.";"a";"Performanse leta i planiranje"
"78";"Kolika je maksimalna količina prtljaga koja može biti ukrcana u vazduhoplov normalne kategorije a da CG ostane u dozvoljenim granicama? (Vidi sliku PPL FPP-17 Masa (lb) Moment/1000 (lb in) Masa praznog vazduhoplova 1,350 lb 5 1.5 lb in Pilot i putnici napred 360 lb Putnici pozadi 400 lb Gorivo 30 US gal Ulje 8 qt -0.2 Prtljag";"105 lbs.";"120 lbs.";"90 lbs.";"75 lbs. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Performanse leta i planiranje";"a";"Performanse leta i planiranje"
"79";"Najlakši put odreñivanja visine po pritisku je putem podešavanja visinomera na:";"1013.2 hPa i očitavanjem visine.";"Visinu aerodroma i očitavanjem visine.";"Visinu aerodroma i očitavanjem vrednosti u barometarskom prozoru.";"Nulu i očitavanjem vrednosti u barometarskom prozoru.";"a";"Performanse leta i planiranje"
"80";"Osnovni razlog proračunavanja visine po gustini je odreñivanje:";"Performansi vazduhoplova";"Visine po pritisku";"Nivoa leta iznad prelazne visine";"Sigurnosne visine iznad planinskih terena.";"a";"Performanse leta i planiranje"
